ON197852.1	Bahrain
OM843316.1	Bahrain
ON197696.1	Bahrain
ON076619.1	Bahrain
ON171946.1	Bahrain
ON197682.1	Bahrain
ON103114.1	Bahrain
ON103278.1	Bahrain
OM845181.1	Bahrain
ON935660.1	Bahrain
ON197757.1	Bahrain
ON171994.1	Bahrain
ON076633.1	Bahrain
ON077202.1	Bahrain
ON103072.1	Bahrain
OP114000.1	Bahrain
ON849034.1	Bahrain
OP169786.1	Bahrain
OM843154.1	Bahrain
OM843212.1	Bahrain
ON103234.1	Bahrain
OM844372.1	Bahrain
OP169707.1	Bahrain
ON197686.1	Bahrain
OM845201.1	Bahrain
ON106934.1	Bahrain
OM843162.1	Bahrain
ON197763.1	Bahrain
OM986537.1	Bahrain
OM844035.1	Bahrain
ON103093.1	Bahrain
ON419003.1	Bahrain
ON076604.1	Bahrain
ON103288.1	Bahrain
ON077237.1	Bahrain
ON627355.1	Bahrain
OM844205.1	Bahrain
OP001897.1	Bahrain
ON197691.1	Bahrain
OP114008.1	Bahrain
OM843144.1	Bahrain
OM843198.1	Bahrain
ON171953.1	Bahrain
ON597587.1	Bahrain
ON077225.1	Bahrain
ON627391.1	Bahrain
OM844059.1	Bahrain
ON197766.1	Bahrain
OP256638.1	Bahrain
OM843322.1	Bahrain
ON103126.1	Bahrain
ON197738.1	Bahrain
OM845074.1	Bahrain
OM986514.1	Bahrain
ON420458.1	Bahrain
ON197816.1	Bahrain
OM843306.1	Bahrain
ON627292.1	Bahrain
ON077217.1	Bahrain
ON146375.1	Bahrain
ON103146.1	Bahrain
ON103150.1	Bahrain
ON418966.1	Bahrain
ON597506.1	Bahrain
OM986645.1	Bahrain
ON606145.1	Bahrain
OM843565.1	Bahrain
OM843223.1	Bahrain
ON103136.1	Bahrain
OP113998.1	Bahrain
ON197782.1	Bahrain
OM844388.1	Bahrain
OP114037.1	Bahrain
OM986667.1	Bahrain
ON197706.1	Bahrain
OP001937.1	Bahrain
ON103287.1	Bahrain
ON103279.1	Bahrain
ON146399.1	Bahrain
OP733046.1	Bahrain
ON171932.1	Bahrain
ON103118.1	Bahrain
OM986527.1	Bahrain
OP256653.1	Bahrain
ON597563.1	Bahrain
OM845229.1	Bahrain
OM844365.1	Bahrain
ON197761.1	Bahrain
OP256645.1	Bahrain
OM986538.1	Bahrain
ON146539.1	Bahrain
OP256677.1	Bahrain
OM845228.1	Bahrain
ON197718.1	Bahrain
ON597602.1	Bahrain
ON103099.1	Bahrain
ON171916.1	Bahrain
OM844390.1	Bahrain
OM844270.1	Bahrain
ON076612.1	Bahrain
ON627321.1	Bahrain
ON420461.1	Bahrain
ON103253.1	Bahrain
OM844279.1	Bahrain
ON419335.1	Bahrain
ON103268.1	Bahrain
OM845220.1	Bahrain
OM986558.1	Bahrain
OM844285.1	Bahrain
ON103263.1	Bahrain
OP114481.1	Bahrain
OM845211.1	Bahrain
OP169712.1	Bahrain
ON627312.1	Bahrain
ON103094.1	Bahrain
OP256660.1	Bahrain
